OBJECTID,ROCK_NAME,ROCK_TYPE,AQ_NAME,AQ_CODE,Shape_Leng,Shape_Area,observed
572,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.08877455059,0.00045416886,
587,Unconsolidated sand and gravel aquifers,100,Northern Rocky Mountains Intermontane Basins aquifer system,105,0.26516099324,0.00279590093,
4078,,999,Other rocks,999,0.03614256941,7.829033e-05,
1804,Carbonate-rock aquifers,400,Basin and Range carbonate-rock aquifers,401,0.1923761868,0.00235952794,
603,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,0.40662807497,0.0030794616,
2957,,999,Other rocks,999,0.12130233086,0.00100002641,
4101,,999,Other rocks,999,0.03444967522,7.785007e-05,
1906,Carbonate-rock aquifers,400,Basin and Range carbonate-rock aquifers,401,0.23195490243,0.00280433472,
3898,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.03024373414,5.846386e-05,
617,,999,Other rocks,999,0.56703215458,0.00844783298,
664,,999,Other rocks,999,0.02103186257,1.472511e-05,
429,,999,Other rocks,999,0.02466991836,3.780221e-05,
873,,999,Other rocks,999,0.06428516217,0.00018887143,
2990,,999,Other rocks,999,0.60539682027,0.01273847234,
390,,999,Other rocks,999,0.02233220868,3.367628e-05,
3003,,999,Other rocks,999,0.48344638446,0.01065416801,
389,Igneous and metamorphic-rock aquifers,600,Pacific Northwest basaltic-rock aquifers,610,0.24870375979,0.00239875058,
391,,999,Other rocks,999,0.02576608146,4.404993e-05,
3899,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02686963673,4.90503e-05,
3900,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02919852496,5.663685e-05,
394,Igneous and metamorphic-rock aquifers,600,Pacific Northwest basaltic-rock aquifers,610,0.09183417506,0.00021571306,
890,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,0.38410195818,0.0020977002,
433,,999,Other rocks,999,0.02662385241,5.054207e-05,
4117,,999,Other rocks,999,0.04341094422,0.00011216413,
4079,,999,Other rocks,999,0.04083721315,9.951662e-05,
3619,Unconsolidated sand and gravel aquifers,100,Surficial aquifer system,111,0.02321366977,3.596365e-05,
3327,,999,Other rocks,999,0.17424725954,0.00197048192,
393,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,0.07918103963,0.00014647101,
984,Igneous and metamorphic-rock aquifers,600,Pacific Northwest basaltic-rock aquifers,610,0.22427065741,0.00249673229,
421,,999,Other rocks,999,0.01716804344,1.538669e-05,
985,,999,Other rocks,999,0.03451672288,7.742496e-05,
4080,,999,Other rocks,999,0.051581905,0.00013007721,
422,,999,Other rocks,999,0.02750778979,4.51749e-05,
465,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.06030554513,0.00022543707,
466,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.01925171958,2.379055e-05,
467,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.02866337066,4.328604e-05,
468,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.04619840714,0.00010308505,
469,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.01656827884,1.706058e-05,
